exercise_id,module,title,description,category,difficulty,question_id,question_type,stimulus_type,stimulus_value,option_1,option_2,option_3,option_4,correct_answer,cue_functional,cue_rhyming,cue_written_initial,cue_spelling,cue_sentence_completion,cue_phonemic,cue_modeling
EX_W_ANI_H,writing,Menulis - Haiwan Sukar,Taip nama haiwan,haiwan,hard,Q_ANI_H_001,pic_to_word,image,images/belalang.png,,,,,belalang,Ini ialah sejenis serangga yang melompat.,Perkataan ini bunyinya hampir seperti 'lalang'.,b _ _ _ _ _ _ _,b-e-l-a-l-a-n-g,Di sawah ada ______.,Perkataan ini bermula dengan bunyi 'be...'.,Sebut: belalang.
EX_W_ANI_H,writing,Menulis - Haiwan Sukar,Taip nama haiwan,haiwan,hard,Q_ANI_H_002,pic_to_word,image,images/buaya.png,,,,,buaya,Ini ialah sejenis haiwan yang ada gigi tajam.,Perkataan ini bunyinya hampir seperti 'suaya'.,b _ _ _ _,b-u-a-y-a,Di sungai ada ______.,Perkataan ini bermula dengan bunyi 'bu...'.,Sebut: buaya.
EX_W_ANI_H,writing,Menulis - Haiwan Sukar,Taip nama haiwan,haiwan,hard,Q_ANI_H_003,pic_to_word,image,images/penyu.png,,,,,penyu,Ini ialah sejenis haiwan yang ada tempurung keras.,Perkataan ini bunyinya hampir seperti 'senyu'.,p _ _ _ _,p-e-n-y-u,Di laut ada ______.,Perkataan ini bermula dengan bunyi 'pe...'.,Sebut: penyu.
EX_W_ANI_H,writing,Menulis - Haiwan Sukar,Taip nama haiwan,haiwan,hard,Q_ANI_H_004,pic_to_word,image,images/belibis.png,,,,,belibis,Ini ialah sejenis burung air.,Perkataan ini bunyinya hampir seperti 'gelibis'.,b _ _ _ _ _ _,b-e-l-i-b-i-s,Di tasik ada ______.,Perkataan ini bermula dengan bunyi 'be...'.,Sebut: belibis.
EX_W_ANI_H,writing,Menulis - Haiwan Sukar,Taip nama haiwan,haiwan,hard,Q_ANI_H_005,pic_to_word,image,images/rusa.png,,,,,rusa,Ini ialah sejenis haiwan yang bertanduk.,Perkataan ini bunyinya hampir seperti 'lusa'.,r _ _ _,r-u-s-a,Di hutan ada ______.,Perkataan ini bermula dengan bunyi 'ru...'.,Sebut: rusa.
EX_W_FOOD_E,writing,Menulis - Makanan Mudah,Taip nama makanan,makanan,easy,Q_FOOD_E_001,pic_to_word,image,images/nasi.png,,,,,nasi,Ini ialah sejenis makanan ruji.,Perkataan ini bunyinya hampir seperti 'lasi'.,n _ _ _,n-a-s-i,Saya makan ______ dengan lauk.,Perkataan ini bermula dengan bunyi 'na...'.,Sebut: nasi.
EX_W_FOOD_E,writing,Menulis - Makanan Mudah,Taip nama makanan,makanan,easy,Q_FOOD_E_002,pic_to_word,image,images/roti.png,,,,,roti,Ini ialah sejenis makanan untuk sarapan.,Perkataan ini bunyinya hampir seperti 'koti'.,r _ _ _,r-o-t-i,Saya makan ______ untuk sarapan.,Perkataan ini bermula dengan bunyi 'ro...'.,Sebut: roti.
EX_W_FOOD_E,writing,Menulis - Makanan Mudah,Taip nama makanan,makanan,easy,Q_FOOD_E_003,pic_to_word,image,images/susu.png,,,,,susu,Ini ialah sejenis minuman putih.,Perkataan ini bunyinya hampir seperti 'tiramisu'.,s _ _ _,s-u-s-u,Saya minum ______ setiap hari.,Perkataan ini bermula dengan bunyi 'su...'.,Sebut: susu.
EX_W_FOOD_E,writing,Menulis - Makanan Mudah,Taip nama makanan,makanan,easy,Q_FOOD_E_004,pic_to_word,image,images/air.png,,,,,air,Ini ialah sejenis minuman yang penting.,Perkataan ini bunyinya hampir seperti 'cair'.,a _ _,a-i-r,Saya minum ______ sejuk.,Perkataan ini bermula dengan bunyi 'a...'.,Sebut: air.
EX_W_FOOD_E,writing,Menulis - Makanan Mudah,Taip nama makanan,makanan,easy,Q_FOOD_E_005,pic_to_word,image,images/ayam_goreng.png,,,,,ayam,Ini ialah sejenis daging yang biasa dimakan.,Perkataan ini bunyinya hampir seperti 'bayam'.,a _ _ _,a-y-a-m,Saya makan ______ goreng.,Perkataan ini bermula dengan bunyi 'a...'.,Sebut: ayam.
EX_W_FOOD_M,writing,Menulis - Makanan Sederhana,Taip nama makanan,makanan,medium,Q_FOOD_M_001,pic_to_word,image,images/telur.png,,,,,telur,Ini ialah sejenis makanan berprotein.,Perkataan ini bunyinya hampir seperti 'melur'.,t _ _ _ _,t-e-l-u-r,Saya makan ______ goreng.,Perkataan ini bermula dengan bunyi 'te...'.,Sebut: telur.
EX_W_FOOD_M,writing,Menulis - Makanan Sederhana,Taip nama makanan,makanan,medium,Q_FOOD_M_002,pic_to_word,image,images/sayur.png,,,,,sayur,Ini ialah sejenis makanan yang sihat.,Perkataan ini bunyinya hampir seperti 'layur'.,s _ _ _ _,s-a-y-u-r,Mak memasak ______.,Perkataan ini bermula dengan bunyi 'sa...'.,Sebut: sayur.
EX_W_FOOD_M,writing,Menulis - Makanan Sederhana,Taip nama makanan,makanan,medium,Q_FOOD_M_003,pic_to_word,image,images/buah.png,,,,,buah,Ini ialah sejenis makanan yang manis.,Perkataan ini bunyinya hampir seperti 'tuah'.,b _ _ _,b-u-a-h,Saya makan ______ setiap hari.,Perkataan ini bermula dengan bunyi 'bu...'.,Sebut: buah.
EX_W_FOOD_M,writing,Menulis - Makanan Sederhana,Taip nama makanan,makanan,medium,Q_FOOD_M_004,pic_to_word,image,images/mee.png,,,,,mee,Ini ialah sejenis mi.,Perkataan ini bunyinya hampir seperti 'bee'.,m _ _,m-e-e,Saya makan ______ goreng.,Perkataan ini bermula dengan bunyi 'me...'.,Sebut: mee.
EX_W_FOOD_M,writing,Menulis - Makanan Sederhana,Taip nama makanan,makanan,medium,Q_FOOD_M_005,pic_to_word,image,images/bubur.png,,,,,bubur,Ini ialah sejenis makanan yang lembut.,Perkataan ini bunyinya hampir seperti 'subur'.,b _ _ _ _,b-u-b-u-r,Orang sakit makan ______.,Perkataan ini bermula dengan bunyi 'bu...'.,Sebut: bubur.
EX_W_FOOD_H,writing,Menulis - Makanan Sukar,Taip nama makanan,makanan,hard,Q_FOOD_H_001,pic_to_word,image,images/nasi_lemak.png,,,,,nasi lemak,Ini ialah sejenis hidangan tradisional.,Perkataan ini bunyinya hampir seperti 'nasi semak'.,n _ _ _   l _ _ _ _,n-a-s-i  l-e-m-a-k,Saya makan ______ untuk sarapan.,Perkataan ini bermula dengan bunyi 'na...'.,Sebut: nasi lemak.
EX_W_FOOD_H,writing,Menulis - Makanan Sukar,Taip nama makanan,makanan,hard,Q_FOOD_H_002,pic_to_word,image,images/mee_goreng.png,,,,,mee goreng,Ini ialah sejenis hidangan mi.,Perkataan ini bunyinya hampir seperti 'mee lorong'.,m _ _   g _ _ _ _ _,m-e-e  g-o-r-e-n-g,Saya pesan ______.,Perkataan ini bermula dengan bunyi 'me...'.,Sebut: mee goreng.
EX_W_FOOD_H,writing,Menulis - Makanan Sukar,Taip nama makanan,makanan,hard,Q_FOOD_H_003,pic_to_word,image,images/roti_canai.png,,,,,roti canai,Ini ialah sejenis roti tempatan.,Perkataan ini bunyinya hampir seperti 'roti sanai'.,r _ _ _   c _ _ _ _,r-o-t-i  c-a-n-a-i,Saya makan ______ di kedai mamak.,Perkataan ini bermula dengan bunyi 'ro...'.,Sebut: roti canai.
EX_W_FOOD_H,writing,Menulis - Makanan Sukar,Taip nama makanan,makanan,hard,Q_FOOD_H_004,pic_to_word,image,images/teh_tarik.png,,,,,teh tarik,Ini ialah sejenis minuman panas.,Perkataan ini bunyinya hampir seperti 'teh barik'.,t _ _   t _ _ _ _,t-e-h  t-a-r-i-k,Pak cik minum ______.,Perkataan ini bermula dengan bunyi 'te...'.,Sebut: teh tarik.
EX_W_FOOD_H,writing,Menulis - Makanan Sukar,Taip nama makanan,makanan,hard,Q_FOOD_H_005,pic_to_word,image,images/kuih_lapis.png,,,,,kuih lapis,Ini ialah sejenis kuih tradisional.,Perkataan ini bunyinya hampir seperti 'kuih nipis'.,k _ _ _   l _ _ _ _,k-u-i-h  l-a-p-i-s,Saya makan ______.,Perkataan ini bermula dengan bunyi 'ku...'.,Sebut: kuih lapis.
EX_W_BODY_E,writing,Menulis - Anggota Badan Mudah,Tulis nama anggota badan,anggota_badan,easy,Q_BADAN_E_001,pic_to_word,image,images/tangan.png,,,,,tangan,Ini ialah bahagian badan untuk memegang sesuatu.,Perkataan ini bunyinya hampir seperti 'lengan'.,t _ _ _ _,t-a-n-g-a-n,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'ta...'.,Sebut: tangan.
EX_W_BODY_E,writing,Menulis - Anggota Badan Mudah,Tulis nama anggota badan,anggota_badan,easy,Q_BADAN_E_002,pic_to_word,image,images/kaki.png,,,,,kaki,Ini ialah bahagian badan untuk berjalan.,Perkataan ini bunyinya hampir seperti 'baki'.,k _ _ _,k-a-k-i,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'ka...'.,Sebut: kaki.
EX_W_BODY_E,writing,Menulis - Anggota Badan Mudah,Tulis nama anggota badan,anggota_badan,easy,Q_BADAN_E_003,pic_to_word,image,images/mata.png,,,,,mata,Ini ialah bahagian badan untuk melihat.,Perkataan ini bunyinya hampir seperti 'rata'.,m _ _ _,m-a-t-a,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'ma...'.,Sebut: mata.
EX_W_BODY_E,writing,Menulis - Anggota Badan Mudah,Tulis nama anggota badan,anggota_badan,easy,Q_BADAN_E_004,pic_to_word,image,images/mulut.png,,,,,mulut,Ini ialah bahagian badan untuk makan dan bercakap.,Perkataan ini bunyinya hampir seperti 'bulut'.,m _ _ _ _,m-u-l-u-t,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'mu...'.,Sebut: mulut.
EX_W_BODY_E,writing,Menulis - Anggota Badan Mudah,Tulis nama anggota badan,anggota_badan,easy,Q_BADAN_E_005,pic_to_word,image,images/telinga.png,,,,,telinga,Ini ialah bahagian badan untuk mendengar.,Perkataan ini bunyinya hampir seperti 'belinga'.,t _ _ _ _ _ _,t-e-l-i-n-g-a,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'te...'.,Sebut: telinga.
EX_W_BODY_M,writing,Menulis - Anggota Badan Sederhana,Tulis nama anggota badan,anggota_badan,medium,Q_BADAN_M_001,pic_to_word,image,images/hidung.png,,,,,hidung,Ini ialah bahagian badan untuk menghidu.,Perkataan ini bunyinya hampir seperti 'kidung'.,h _ _ _ _ _,h-i-d-u-n-g,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'hi...'.,Sebut: hidung.
EX_W_BODY_M,writing,Menulis - Anggota Badan Sederhana,Tulis nama anggota badan,anggota_badan,medium,Q_BADAN_M_002,pic_to_word,image,images/kepala.png,,,,,kepala,Ini ialah bahagian badan paling atas.,Perkataan ini bunyinya hampir seperti 'sepala'.,k _ _ _ _ _,k-e-p-a-l-a,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'ke...'.,Sebut: kepala.
EX_W_BODY_M,writing,Menulis - Anggota Badan Sederhana,Tulis nama anggota badan,anggota_badan,medium,Q_BADAN_M_003,pic_to_word,image,images/perut.png,,,,,perut,Ini ialah bahagian badan untuk rasa lapar atau kenyang.,Perkataan ini bunyinya hampir seperti 'gerut'.,p _ _ _ _,p-e-r-u-t,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'pe...'.,Sebut: perut.
EX_W_BODY_M,writing,Menulis - Anggota Badan Sederhana,Tulis nama anggota badan,anggota_badan,medium,Q_BADAN_M_004,pic_to_word,image,images/bahu.png,,,,,bahu,Ini ialah bahagian badan antara leher dan lengan.,Perkataan ini bunyinya hampir seperti 'tahu'.,b _ _ _,b-a-h-u,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'ba...'.,Sebut: bahu.
EX_W_BODY_M,writing,Menulis - Anggota Badan Sederhana,Tulis nama anggota badan,anggota_badan,medium,Q_BADAN_M_005,pic_to_word,image,images/jari.png,,,,,jari,Ini ialah bahagian kecil di hujung tangan.,Perkataan ini bunyinya hampir seperti 'lari'.,j _ _ _,j-a-r-i,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'ja...'.,Sebut: jari.
EX_W_BODY_H,writing,Menulis - Anggota Badan Sukar,Tulis nama anggota badan,anggota_badan,hard,Q_BADAN_H_001,pic_to_word,image,images/pergelangan.png,,,,,pergelangan,Ini ialah bahagian yang menyambungkan tangan dan lengan.,Perkataan ini bunyinya hampir seperti 'perjalanan'.,p _ _ _ _ _ _ _ _,p-e-r-g-e-l-a-n-g-a-n,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'per...'.,Sebut: pergelangan.
EX_W_BODY_H,writing,Menulis - Anggota Badan Sukar,Tulis nama anggota badan,anggota_badan,hard,Q_BADAN_H_002,pic_to_word,image,images/sendi.png,,,,,sendi,Ini ialah bahagian badan yang membenarkan pergerakan.,Perkataan ini bunyinya hampir seperti 'bendi'.,s _ _ _ _,s-e-n-d-i,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'se...'.,Sebut: sendi.
EX_W_BODY_H,writing,Menulis - Anggota Badan Sukar,Tulis nama anggota badan,anggota_badan,hard,Q_BADAN_H_003,pic_to_word,image,images/tulang.png,,,,,tulang,Ini ialah struktur keras dalam badan.,Perkataan ini bunyinya hampir seperti 'pulang'.,t _ _ _ _ _,t-u-l-a-n-g,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'tu...'.,Sebut: tulang.
EX_W_BODY_H,writing,Menulis - Anggota Badan Sukar,Tulis nama anggota badan,anggota_badan,hard,Q_BADAN_H_004,pic_to_word,image,images/dada.png,,,,,dada,Ini ialah bahagian depan badan.,Perkataan ini bunyinya hampir seperti 'rada'.,d _ _ _,d-a-d-a,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'da...'.,Sebut: dada.
EX_W_BODY_H,writing,Menulis - Anggota Badan Sukar,Tulis nama anggota badan,anggota_badan,hard,Q_BADAN_H_005,pic_to_word,image,images/siku.png,,,,,siku,Ini ialah sendi di tengah lengan.,Perkataan ini bunyinya hampir seperti 'piku'.,s _ _ _,s-i-k-u,Ini ialah ______.,Perkataan ini bermula dengan bunyi 'si...'.,Sebut: siku.
EX_W_KK_E,writing,Menulis - Kata Kerja Mudah,Tulis nama perbuatan,kata_kerja,easy,Q_KK_E_001,pic_to_word,image,images/makan.png,,,,,makan,Perbuatan memasukkan makanan ke dalam mulut.,Perkataan ini bunyinya hampir seperti 'kan',m _ _ _ _,m-a-k-a-n,Saya mahu _____ nasi untuk sarapan,Ia bermula dengan bunyi 'ma...',Katakan 'makan'
EX_W_KK_E,writing,Menulis - Kata Kerja Mudah,Tulis nama perbuatan,kata_kerja,easy,Q_KK_E_002,pic_to_word,image,images/minum.png,,,,,minum,Perbuatan memasukkan minuman ke dalam mulut.,Perkataan ini bunyinya hampir seperti 'tum',m _ _ _ _,m-i-n-u-m,Saya mahu _____ air sejuk,Ia bermula dengan bunyi 'mi...',Katakan 'minum'
EX_W_KK_E,writing,Menulis - Kata Kerja Mudah,Tulis nama perbuatan,kata_kerja,easy,Q_KK_E_003,pic_to_word,image,images/tidur.png,,,,,tidur,Perbuatan merehatkan badan dan pejam mata.,Perkataan ini bunyinya hampir seperti 'ulur',t _ _ _ _,t-i-d-u-r,Pada waktu malam saya _____,Ia bermula dengan bunyi 'ti...',Katakan 'tidur'
EX_W_KK_E,writing,Menulis - Kata Kerja Mudah,Tulis nama perbuatan,kata_kerja,easy,Q_KK_E_004,pic_to_word,image,images/duduk.png,,,,,duduk,Perbuatan melabuhkan badan di atas kerusi atau lantai.,Perkataan ini bunyinya hampir seperti 'tuduk',d _ _ _ _,d-u-d-u-k,"Di dalam kelas, pelajar _____ diam",Ia bermula dengan bunyi 'du...',Katakan 'duduk'
EX_W_KK_E,writing,Menulis - Kata Kerja Mudah,Tulis nama perbuatan,kata_kerja,easy,Q_KK_E_005,pic_to_word,image,images/berdiri.png,,,,,berdiri,Perbuatan tegak di atas kaki.,Perkataan ini bunyinya hampir seperti 'tadi',b _ _ _ _ _ ,b-e-r-d-i-r-i,"Apabila guru masuk, murid _____",Ia bermula dengan bunyi 'ber...',Katakan 'berdiri'
EX_W_KK_M,writing,Menulis - Kata Kerja Sederhana,Tulis nama perbuatan,kata_kerja,medium,Q_KK_M_001,pic_to_word,image,images/berjalan.png,,,,,berjalan,Perbuatan bergerak dengan kaki secara perlahan.,Perkataan ini bunyinya hampir seperti 'perlahan',b _ _ _ _ _ _ _,b-e-r-j-a-l-a-n,Setiap petang kami _____ di taman,Ia bermula dengan bunyi 'ber...',Katakan 'berjalan'
EX_W_KK_M,writing,Menulis - Kata Kerja Sederhana,Tulis nama perbuatan,kata_kerja,medium,Q_KK_M_002,pic_to_word,image,images/menulis.png,,,,,menulis,Perbuatan menggunakan pen atau pensel di atas kertas.,Perkataan ini bunyinya hampir seperti 'penulis',m _ _ _ l _ _ s,m-e-n-u-l-i-s,Saya _____ nota dalam buku,Ia bermula dengan bunyi 'me...',Katakan 'menulis'
EX_W_KK_M,writing,Menulis - Kata Kerja Sederhana,Tulis nama perbuatan,kata_kerja,medium,Q_KK_M_003,pic_to_word,image,images/membaca.png,,,,,membaca,Perbuatan melihat dan memahami perkataan dalam buku.,Perkataan ini bunyinya hampir seperti 'terbaca',m _ _ _ b _ c _ a,m-e-m-b-a-c-a,Setiap hari saya _____ al-Quran,Ia bermula dengan bunyi 'mem...',Katakan 'membaca'
EX_W_KK_M,writing,Menulis - Kata Kerja Sederhana,Tulis nama perbuatan,kata_kerja,medium,Q_KK_M_004,pic_to_word,image,images/berlari.png,,,,,lari,Perbuatan bergerak dengan sangat laju menggunakan kaki.,Perkataan ini bunyinya hampir seperti 'tari',l _ _ i,l-a-r-i,Kanak-kanak _____ di padang,Ia bermula dengan bunyi 'la...',Katakan 'lari'
EX_W_KK_M,writing,Menulis - Kata Kerja Sederhana,Tulis nama perbuatan,kata_kerja,medium,Q_KK_M_005,pic_to_word,image,images/mencuci.png,,,,,cuci,Perbuatan membersihkan sesuatu dengan air atau sabun.,Perkataan ini bunyinya hampir seperti 'kunci',c _ _ i,c-u-c-i,"Selepas makan, saya _____ pinggan",Ia bermula dengan bunyi 'cu...',Katakan 'cuci'
EX_W_KK_H,writing,Menulis - Kata Kerja Sukar,Tulis nama perbuatan,kata_kerja,hard,Q_KK_H_001,pic_to_word,image,images/berbual.png,,,,,berbual,Perbuatan bercakap santai dengan orang lain.,Perkataan ini bunyinya hampir seperti 'berjual',b _ _ _ _ _ _,b-e-r-b-u-a-l,Mereka duduk di warung dan _____,Ia bermula dengan bunyi 'ber...',Katakan 'berbual'
EX_W_KK_H,writing,Menulis - Kata Kerja Sukar,Tulis nama perbuatan,kata_kerja,hard,Q_KK_H_002,pic_to_word,image,images/berfikir.png,,,,,berfikir,Perbuatan menggunakan minda untuk membuat keputusan.,Perkataan ini bunyinya hampir seperti 'bibir',b _ _ _ _ _ _ _,b-e-r-f-i-k-i-r,"Sebelum menjawab, saya perlu _____",Ia bermula dengan bunyi 'ber...',Katakan 'berfikir'
EX_W_KK_H,writing,Menulis - Kata Kerja Sukar,Tulis nama perbuatan,kata_kerja,hard,Q_KK_H_003,pic_to_word,image,images/bermain.png,,,,,bermain,Perbuatan melakukan aktiviti untuk berseronok.,Perkataan ini bunyinya hampir seperti 'termain',b _ _ _ _ _ _,b-e-r-m-a-i-n,Kanak-kanak _____ bola di luar rumah,Ia bermula dengan bunyi 'ber...',Katakan 'bermain'
EX_W_KK_H,writing,Menulis - Kata Kerja Sukar,Tulis nama perbuatan,kata_kerja,hard,Q_KK_H_004,pic_to_word,image,images/bekerja.png,,,,,bekerja,Perbuatan melakukan tugas untuk mencari rezeki.,Perkataan ini bunyinya hampir seperti 'tikerja',b _ _ _ _ _ _ _,b-e-r-k-e-r-j-a,Ayah _____ di pejabat setiap hari,Ia bermula dengan bunyi 'ber...',Katakan 'bekerja'
EX_W_KK_H,writing,Menulis - Kata Kerja Sukar,Tulis nama perbuatan,kata_kerja,hard,Q_KK_H_005,pic_to_word,image,images/memasak.png,,,,,memasak,Perbuatan menyediakan makanan di dapur.,Perkataan ini bunyinya hampir seperti 'temasak',m _ _ _ _ _ _,m-e-m-a-s-a-k,Mak _____ lauk untuk makan malam,Ia bermula dengan bunyi 'me...',Katakan 'memasak'
EX_C_ANI_E,comprehension,Kefahaman - Haiwan Mudah,Padankan perkataan dengan gambar,haiwan,easy,Q_C_ANI_E_001,word_to_pic,audio,Haiwan ini mengeong dan suka bermain.,images/kucing.png,images/anjing.png,images/ikan.png,images/ayam.png,images/kucing.png,Haiwan ini berbulu lembut dan biasanya kecil.,Perkataan ini bunyinya hampir seperti 'hidung',k _ _ _ _,k-u-c-i-n-g,"Di rumah, orang membela _____ sebagai haiwan peliharaan.",Perkataan ini bermula dengan bunyi 'ku...'.,Sebut: kucing.
EX_C_ANI_E,comprehension,Kefahaman - Haiwan Mudah,Padankan perkataan dengan gambar,haiwan,easy,Q_C_ANI_E_002,word_to_pic,audio,Haiwan ini menyalak dan menjaga rumah.,images/anjing.png,images/kucing.png,images/ikan.png,images/ayam.png,images/anjing.png,Haiwan ini berkolar dan diikat dengan tali.,Perkataan ini bunyinya hampir seperti 'panjang',a _ _ _ _,a-n-j-i-n-g,Pengawal keselamatan kadang-kadang menggunakan _____ untuk ronda.,Perkataan ini bermula dengan bunyi 'an...'.,Sebut: anjing.
EX_C_ANI_E,comprehension,Kefahaman - Haiwan Mudah,Padankan perkataan dengan gambar,haiwan,easy,Q_C_ANI_E_003,word_to_pic,audio,Haiwan ini hidup di dalam air.,images/ikan.png,images/ayam.png,images/anjing.png,images/burung.png,images/ikan.png,Gambarnya menunjukkan haiwan berenang di air.,Perkataan ini bunyinya hampir seperti 'ikan',i _ _ _,i-k-a-n,Kita boleh nampak banyak _____ di akuarium atau pasar basah.,Perkataan ini bermula dengan bunyi 'i...'.,Sebut: ikan.
EX_C_ANI_E,comprehension,Kefahaman - Haiwan Mudah,Padankan perkataan dengan gambar,haiwan,easy,Q_C_ANI_E_004,word_to_pic,audio,Haiwan ini berkokok dan bertelur.,images/ayam.png,images/ikan.png,images/lembu.png,images/kucing.png,images/ayam.png,Haiwan ini ada jengger merah di kepala dan mengokok dan bertelur. ,Perkataan ini bunyinya hampir seperti 'ayam',a _ _ _,a-y-a-m,"Di kampung, orang bela _____ di reban.",Perkataan ini bermula dengan bunyi 'a...'.,Sebut: ayam.
EX_C_ANI_E,comprehension,Kefahaman - Haiwan Mudah,Padankan perkataan dengan gambar,haiwan,easy,Q_C_ANI_E_005,word_to_pic,audio,Haiwan ini terbang dan berkicau.,images/burung.png,images/ikan.png,images/anjing.png,images/ayam.png,images/burung.png,Gambarnya menunjukkan haiwan dengan sayap di dahan.,Perkataan ini bunyinya hampir seperti 'kurung',b _ _ _ _,b-u-r-u-n-g,"Pagi-pagi, kita dengar _____ berbunyi di pokok.",Perkataan ini bermula dengan bunyi 'bu...'.,Sebut: burung.
