question_id,exercise_id,exercise_name,exercise_start_at_iso,exercise_end_at_iso,exercise_duration_seconds,module_start_at_iso,module_end_at_iso,module,category,item,item_image_filename,difficulty_label,question_type,presented_at_iso,response_at_iso,response_time_seconds,user_answer,correct_answer,correct,correct_before_cue,cue_given,cue_type,cue_stage,cue_sequence_number,cue_wait_seconds,hint_count,session_id,user_id,therapist_assigned_level,device_type,created_at_iso
Q_00011,EX_WRI_CLO_E_011,Writing: Clothing Easy #1,2024-01-31T10:29:00,2024-01-31T10:31:38.060000,158.06,2024-01-31T10:29:00,2024-01-31T10:31:38.060000,writing,clothing,skirt,clothing/skirt.png,easy,spelling_choice,2024-01-31T10:31:32,2024-01-31T10:31:38.060000,6.06,skirt,skirt,1,1,0,,0,0,,0,SESS_USER_026_001,USER_026,5,web,2024-01-31T10:31:38.963714
Q_00012,EX_COM_FOO_H_012,Comprehension: Food Hard #1,2024-04-07T12:18:30,2024-04-07T12:21:30.340000,180.34,2024-04-07T12:18:30,2024-04-07T12:21:30.340000,comprehension,food,water,food/water.png,hard,word_to_pic,2024-04-07T12:21:19,2024-04-07T12:21:30.340000,11.34,water,water,1,1,0,,0,0,,0,SESS_USER_010_001,USER_010,5,mobile,2024-04-07T12:21:31.345898
Q_00013,EX_WRI_ANI_E_013,Writing: Animals Easy #1,2024-09-17T10:00:02,2024-09-17T10:03:11.250000,189.25,2024-09-17T10:00:00,2024-09-17T10:03:11.250000,writing,animals,bird,animals/bird.png,easy,pic_to_word,2024-09-17T10:03:02,2024-09-17T10:03:11.250000,9.25,bird,bird,1,1,0,,0,0,,0,SESS_USER_004_001,USER_004,2,mobile,2024-09-17T10:03:13.139033
Q_00014,EX_COM_BOD_H_014,Comprehension: Body Parts Hard #1,2024-10-31T08:45:31,2024-10-31T08:48:55.760000,204.76,2024-10-31T08:45:30,2024-10-31T08:48:55.760000,comprehension,body_parts,shoulder,body_parts/shoulder.png,hard,category_sorting,2024-10-31T08:48:51,2024-10-31T08:48:55.760000,4.76,shoulder,shoulder,1,1,0,,0,0,,0,SESS_USER_038_001,USER_038,4,mobile,2024-10-31T08:48:56.456949
Q_00015,EX_WRI_CLO_E_015,Writing: Clothing Easy #2,2024-09-17T15:12:04,2024-09-17T15:15:36.840000,212.84,2024-09-17T15:05:00,2024-09-17T15:15:36.840000,writing,clothing,sweater,clothing/sweater.png,easy,spelling_choice,2024-09-17T15:15:34,2024-09-17T15:15:36.840000,2.84,blouse,sweater,0,0,0,,0,0,,0,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T15:15:37.810742
Q_00016,EX_COM_FOO_H_016,Comprehension: Food Hard #1,2024-04-19T16:23:32,2024-04-19T16:27:28.700000,236.7,2024-04-19T16:23:30,2024-04-19T16:27:28.700000,comprehension,food,potato,food/potato.png,hard,word_to_pic,2024-04-19T16:27:18,2024-04-19T16:27:28.700000,10.7,potato,potato,1,1,0,,0,0,,0,SESS_USER_035_001,USER_035,3,mobile,2024-04-19T16:27:29.632551
Q_00017,EX_WRI_ANI_E_017,Writing: Animals Easy #1,2024-11-09T20:49:08,2024-11-09T20:53:13.360000,245.36,2024-11-09T20:49:00,2024-11-09T20:53:13.360000,writing,animals,dog,animals/dog.png,easy,spelling_choice,2024-11-09T20:53:09,2024-11-09T20:53:13.360000,4.36,dog,dog,1,1,0,,0,0,,0,SESS_USER_020_001,USER_020,5,mobile,2024-11-09T20:53:13.962485
Q_00018,EX_COM_BOD_H_018,Comprehension: Body Parts Hard #1,2024-05-24T17:21:35,2024-05-24T17:26:13.730000,278.73,2024-05-24T17:21:30,2024-05-24T17:26:13.730000,comprehension,body_parts,ear,body_parts/ear.png,hard,category_sorting,2024-05-24T17:25:52,2024-05-24T17:26:13.730000,21.73,ear,ear,1,1,1,modeling,1,1,10.08,1,SESS_USER_018_001,USER_018,5,mobile,2024-05-24T17:26:13.913765
Q_00019,EX_WRI_CLO_E_015,Writing: Clothing Easy #2,2024-09-17T15:12:04,2024-09-17T15:16:41.640000,277.64,2024-09-17T15:05:00,2024-09-17T15:16:41.640000,writing,clothing,glove,clothing/glove.png,easy,fill_in_blank,2024-09-17T15:16:37,2024-09-17T15:16:41.640000,4.64,glove,glove,1,1,0,,0,0,,0,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T15:16:42.805723
Q_00020,EX_COM_FOO_H_019,Comprehension: Food Hard #2,2024-04-12T19:28:38,2024-04-12T19:33:30.430000,292.43,2024-04-12T19:21:30,2024-04-12T19:33:30.430000,comprehension,food,bread,food/bread.png,hard,category_sorting,2024-04-12T19:33:24,2024-04-12T19:33:30.430000,6.43,bread,bread,1,1,0,,0,0,,0,SESS_USER_045_001,USER_045,4,mobile,2024-04-12T19:33:30.609475
Q_00021,EX_WRI_ANI_E_020,Writing: Animals Easy #1,2024-07-02T11:53:03,2024-07-02T11:58:25.280000,322.28,2024-07-02T11:53:00,2024-07-02T11:58:25.280000,writing,animals,fish,animals/fish.png,easy,spelling_choice,2024-07-02T11:58:06,2024-07-02T11:58:25.280000,19.28,cow,fish,0,0,0,,0,0,,0,SESS_USER_003_001,USER_003,3,mobile,2024-07-02T11:58:27.230290
Q_00022,EX_COM_BOD_H_021,Comprehension: Body Parts Hard #1,2024-03-31T22:36:30,2024-03-31T22:42:03.100000,333.1,2024-03-31T22:36:30,2024-03-31T22:42:03.100000,comprehension,body_parts,eye,body_parts/eye.png,hard,category_sorting,2024-03-31T22:41:50,2024-03-31T22:42:03.100000,13.1,eye,eye,1,1,0,,0,0,,0,SESS_USER_011_001,USER_011,4,web,2024-03-31T22:42:04.841722
Q_00023,EX_WRI_CLO_E_022,Writing: Clothing Easy #2,2024-05-24T17:24:01,2024-05-24T17:29:42.330000,341.33,2024-05-24T17:24:00,2024-05-24T17:29:42.330000,writing,clothing,skirt,clothing/skirt.png,easy,pic_to_word,2024-05-24T17:29:34,2024-05-24T17:29:42.330000,8.33,skirt,skirt,1,1,0,,0,0,,0,SESS_USER_018_001,USER_018,5,mobile,2024-05-24T17:29:43.094351
Q_00024,EX_COM_FOO_H_023,Comprehension: Food Hard #1,2024-04-24T08:53:33,2024-04-24T08:59:31.210000,358.21,2024-04-24T08:53:30,2024-04-24T08:59:31.210000,comprehension,food,tomato,food/tomato.png,hard,category_sorting,2024-04-24T08:59:21,2024-04-24T08:59:31.210000,10.21,tomato,tomato,1,1,1,modeling,3,1,24.31,3,SESS_USER_015_001,USER_015,2,mobile,2024-04-24T08:59:32.601084
Q_00025,EX_WRI_ANI_E_024,Writing: Animals Easy #1,2024-01-15T10:08:04,2024-01-15T10:14:26.760000,382.76,2024-01-15T10:08:00,2024-01-15T10:14:26.760000,writing,animals,cow,animals/cow.png,easy,spelling_choice,2024-01-15T10:14:08,2024-01-15T10:14:26.760000,18.76,cow,cow,1,1,1,written_initial,6,1,48.25,4,SESS_USER_022_001,USER_022,5,mobile,2024-01-15T10:14:28.730048
Q_00026,EX_COM_BOD_H_025,Comprehension: Body Parts Hard #2,2024-10-22T15:27:30,2024-10-22T15:34:22.270000,412.27,2024-10-22T15:18:30,2024-10-22T15:34:22.270000,comprehension,body_parts,shoulder,body_parts/shoulder.png,hard,word_to_pic,2024-10-22T15:33:47,2024-10-22T15:34:22.270000,35.27,toe,shoulder,0,0,1,phonemic,6,1,56.71,6,SESS_USER_037_001,USER_037,1,web,2024-10-22T15:34:23.189465
Q_00027,EX_WRI_CLO_E_026,Writing: Clothing Easy #1,2024-03-04T20:10:04,2024-03-04T20:16:43.010000,399.01,2024-03-04T20:10:00,2024-03-04T20:16:43.010000,writing,clothing,sandal,clothing/sandal.png,easy,spelling_choice,2024-03-04T20:16:39,2024-03-04T20:16:43.010000,4.01,sandal,sandal,1,1,0,,0,0,,0,SESS_USER_043_001,USER_043,3,web,2024-03-04T20:16:43.671745
Q_00028,EX_COM_FOO_H_027,Comprehension: Food Hard #1,2024-12-06T14:56:32,2024-12-06T15:03:49.070000,437.07,2024-12-06T14:56:30,2024-12-06T15:03:49.070000,comprehension,food,juice,food/juice.png,hard,category_sorting,2024-12-06T15:03:19,2024-12-06T15:03:49.070000,30.07,soup,juice,0,0,1,written_initial,3,1,16.56,3,SESS_USER_027_001,USER_027,3,mobile,2024-12-06T15:03:50.053478
Q_00029,EX_WRI_ANI_E_028,Writing: Animals Easy #1,2024-08-30T21:11:02,2024-08-30T21:18:09.580000,427.58,2024-08-30T21:11:00,2024-08-30T21:18:09.580000,writing,animals,bird,animals/bird.png,easy,spelling_choice,2024-08-30T21:18:04,2024-08-30T21:18:09.580000,5.58,bird,bird,1,1,0,,0,0,,0,SESS_USER_033_001,USER_033,2,mobile,2024-08-30T21:18:09.857436
Q_00030,EX_COM_BOD_H_029,Comprehension: Body Parts Hard #1,2024-06-07T12:05:33,2024-06-07T12:13:23.220000,470.22,2024-06-07T12:05:30,2024-06-07T12:13:23.220000,comprehension,body_parts,head,body_parts/head.png,hard,word_to_pic,2024-06-07T12:12:53,2024-06-07T12:13:23.220000,30.22,head,head,1,0,1,sentence_completion,7,1,47.27,4,SESS_USER_044_001,USER_044,1,mobile,2024-06-07T12:13:24.413775
Q_00031,EX_WRI_CLO_E_030,Writing: Clothing Easy #1,2024-09-10T14:30:02,2024-09-10T14:37:42.580000,460.58,2024-09-10T14:30:00,2024-09-10T14:37:42.580000,writing,clothing,shirt,clothing/shirt.png,easy,pic_to_word,2024-09-10T14:37:37,2024-09-10T14:37:42.580000,5.58,shirt,shirt,1,1,0,,0,0,,0,SESS_USER_025_001,USER_025,4,web,2024-09-10T14:37:43.664120
Q_00032,EX_COM_FOO_H_031,Comprehension: Food Hard #2,2024-10-17T09:20:31,2024-10-17T09:29:05.580000,514.58,2024-10-17T09:20:30,2024-10-17T09:29:05.580000,comprehension,food,soup,food/soup.png,hard,sentence_matching,2024-10-17T09:28:20,2024-10-17T09:29:05.580000,45.58,salad,soup,0,0,0,,0,0,,0,SESS_USER_016_001,USER_016,2,web,2024-10-17T09:29:06.811359
Q_00033,EX_WRI_ANI_E_032,Writing: Animals Easy #1,2024-09-15T15:09:08,2024-09-15T15:17:17.940000,489.94,2024-09-15T15:09:00,2024-09-15T15:17:17.940000,writing,animals,chicken,animals/chicken.png,easy,fill_in_blank,2024-09-15T15:17:10,2024-09-15T15:17:17.940000,7.94,chicken,chicken,1,1,0,,0,0,,0,SESS_USER_047_001,USER_047,1,web,2024-09-15T15:17:19.468376
Q_00034,EX_COM_BOD_H_018,Comprehension: Body Parts Hard #2,2024-05-24T17:21:35,2024-05-24T17:29:57.950000,502.95,2024-05-24T17:29:30,2024-05-24T17:29:57.950000,comprehension,body_parts,stomach,body_parts/stomach.png,hard,yes_no_question,2024-05-24T17:29:50,2024-05-24T17:29:57.950000,7.95,stomach,stomach,1,1,0,,0,0,,0,SESS_USER_018_001,USER_018,5,mobile,2024-05-24T17:29:59.405735
Q_00035,EX_WRI_CLO_E_033,Writing: Clothing Easy #2,2024-01-15T10:13:08,2024-01-15T10:22:23.590000,555.59,2024-01-15T10:08:00,2024-01-15T10:22:23.590000,writing,clothing,dress,clothing/dress.png,easy,fill_in_blank,2024-01-15T10:21:41,2024-01-15T10:22:23.590000,42.59,dress,dress,1,1,1,rhyming,6,1,16.77,4,SESS_USER_022_001,USER_022,5,mobile,2024-01-15T10:22:24.318675
Q_00036,EX_COM_FOO_H_034,Comprehension: Food Hard #2,2024-09-17T10:11:36,2024-09-17T10:20:31.210000,535.21,2024-09-17T10:11:30,2024-09-17T10:20:31.210000,comprehension,food,tomato,food/tomato.png,hard,word_to_pic,2024-09-17T10:20:24,2024-09-17T10:20:31.210000,7.21,potato,tomato,0,0,0,,0,0,,0,SESS_USER_004_001,USER_004,2,mobile,2024-09-17T10:20:32.216261
Q_00037,EX_WRI_ANI_E_035,Writing: Animals Easy #2,2024-09-10T14:33:06,2024-09-10T14:42:18.070000,552.07,2024-09-10T14:30:00,2024-09-10T14:42:18.070000,writing,animals,turtle,animals/turtle.png,easy,fill_in_blank,2024-09-10T14:42:09,2024-09-10T14:42:18.070000,9.07,turtle,turtle,1,1,0,,0,0,,0,SESS_USER_025_001,USER_025,4,web,2024-09-10T14:42:18.225147
Q_00038,EX_COM_BOD_H_029,Comprehension: Body Parts Hard #1,2024-06-07T12:05:33,2024-06-07T12:14:56.630000,563.63,2024-06-07T12:05:30,2024-06-07T12:14:56.630000,comprehension,body_parts,eye,body_parts/eye.png,hard,yes_no_question,2024-06-07T12:14:52,2024-06-07T12:14:56.630000,4.63,shoulder,eye,0,0,0,,0,0,,0,SESS_USER_044_001,USER_044,1,mobile,2024-06-07T12:14:56.781236
Q_00039,EX_WRI_CLO_E_036,Writing: Clothing Easy #2,2024-11-25T14:27:07,2024-11-25T14:36:46.660000,579.66,2024-11-25T14:27:00,2024-11-25T14:36:46.660000,writing,clothing,sock,clothing/sock.png,easy,pic_to_word,2024-11-25T14:36:39,2024-11-25T14:36:46.660000,7.66,sock,sock,1,1,1,spelling,3,1,23.56,2,SESS_USER_043_002,USER_043,3,web,2024-11-25T14:36:48.188819
Q_00040,EX_COM_FOO_H_037,Comprehension: Food Hard #1,2024-02-11T15:20:38,2024-02-11T15:30:44.260000,606.26,2024-02-11T15:20:30,2024-02-11T15:30:44.260000,comprehension,food,bread,food/bread.png,hard,category_sorting,2024-02-11T15:30:24,2024-02-11T15:30:44.260000,20.26,bread,bread,1,1,1,phonemic,1,1,46.48,1,SESS_USER_017_001,USER_017,5,web,2024-02-11T15:30:45.954535
Q_00041,EX_WRI_ANI_E_038,Writing: Animals Easy #3,2024-10-17T09:25:10,2024-10-17T09:35:24.460000,614.46,2024-10-17T09:25:00,2024-10-17T09:35:24.460000,writing,animals,fish,animals/fish.png,easy,fill_in_blank,2024-10-17T09:35:12,2024-10-17T09:35:24.460000,12.46,fish,fish,1,1,0,,0,0,,0,SESS_USER_016_001,USER_016,2,web,2024-10-17T09:35:24.878799
Q_00042,EX_COM_BOD_H_039,Comprehension: Body Parts Hard #1,2024-02-28T21:12:32,2024-02-28T21:23:07.620000,635.62,2024-02-28T21:12:30,2024-02-28T21:23:07.620000,comprehension,body_parts,finger,body_parts/finger.png,hard,word_to_pic,2024-02-28T21:22:51,2024-02-28T21:23:07.620000,16.62,shoulder,finger,0,0,0,,0,0,,0,SESS_USER_048_001,USER_048,4,web,2024-02-28T21:23:09.006960
Q_00043,EX_WRI_CLO_E_040,Writing: Clothing Easy #1,2024-04-11T09:58:10,2024-04-11T10:08:52.460000,642.46,2024-04-11T09:58:00,2024-04-11T10:08:52.460000,writing,clothing,coat,clothing/coat.png,easy,pic_to_word,2024-04-11T10:08:45,2024-04-11T10:08:52.460000,7.46,coat,coat,1,1,0,,0,0,,0,SESS_USER_046_001,USER_046,5,web,2024-04-11T10:08:53.700782
Q_00044,EX_COM_FOO_H_008,Comprehension: Food Hard #2,2024-10-22T15:18:37,2024-10-22T15:29:39.520000,662.52,2024-10-22T15:18:30,2024-10-22T15:29:39.520000,comprehension,food,potato,food/potato.png,hard,yes_no_question,2024-10-22T15:29:27,2024-10-22T15:29:39.520000,12.52,potato,potato,1,1,0,,0,0,,0,SESS_USER_037_001,USER_037,1,web,2024-10-22T15:29:40.268339
Q_00045,EX_WRI_ANI_E_041,Writing: Animals Easy #1,2024-02-24T14:45:10,2024-02-24T14:56:18.290000,668.29,2024-02-24T14:45:00,2024-02-24T14:56:18.290000,writing,animals,chicken,animals/chicken.png,easy,fill_in_blank,2024-02-24T14:56:15,2024-02-24T14:56:18.290000,3.29,chicken,chicken,1,1,0,,0,0,,0,SESS_USER_032_001,USER_032,3,web,2024-02-24T14:56:18.903157
Q_00046,EX_COM_BOD_H_042,Comprehension: Body Parts Hard #2,2024-04-19T16:38:37,2024-04-19T16:50:10.580000,693.58,2024-04-19T16:23:30,2024-04-19T16:50:10.580000,comprehension,body_parts,shoulder,body_parts/shoulder.png,hard,category_sorting,2024-04-19T16:49:55,2024-04-19T16:50:10.580000,15.58,shoulder,shoulder,1,1,1,functional,3,1,53.49,1,SESS_USER_035_001,USER_035,3,mobile,2024-04-19T16:50:11.762714
Q_00047,EX_WRI_CLO_E_043,Writing: Clothing Easy #3,2024-06-15T10:54:03,2024-06-15T11:05:44.070000,701.07,2024-06-15T10:54:00,2024-06-15T11:05:44.070000,writing,clothing,tie,clothing/tie.png,easy,spelling_choice,2024-06-15T11:05:38,2024-06-15T11:05:44.070000,6.07,vest,tie,0,0,0,,0,0,,0,SESS_USER_022_002,USER_022,5,mobile,2024-06-15T11:05:45.842204
Q_00048,EX_COM_FOO_H_044,Comprehension: Food Hard #1,2024-02-13T12:09:36,2024-02-13T12:21:52.280000,736.28,2024-02-13T12:09:30,2024-02-13T12:21:52.280000,comprehension,food,salad,food/salad.png,hard,sentence_matching,2024-02-13T12:21:24,2024-02-13T12:21:52.280000,28.28,apple,salad,0,0,0,,0,0,,0,SESS_USER_013_001,USER_013,1,web,2024-02-13T12:21:53.231532
Q_00049,EX_WRI_ANI_E_045,Writing: Animals Easy #2,2024-04-24T09:06:03,2024-04-24T09:18:15.830000,732.83,2024-04-24T09:06:00,2024-04-24T09:18:15.830000,writing,animals,elephant,animals/elephant.png,easy,spelling_choice,2024-04-24T09:18:06,2024-04-24T09:18:15.830000,9.83,elephant,elephant,1,1,0,,0,0,,0,SESS_USER_015_001,USER_015,2,mobile,2024-04-24T09:18:17.823600
Q_00050,EX_COM_BOD_H_046,Comprehension: Body Parts Hard #1,2024-12-25T15:41:34,2024-12-25T15:54:01.460000,747.46,2024-12-25T15:41:30,2024-12-25T15:54:01.460000,comprehension,body_parts,mouth,body_parts/mouth.png,hard,sentence_matching,2024-12-25T15:53:50,2024-12-25T15:54:01.460000,11.46,mouth,mouth,1,1,1,functional,6,1,34.47,6,SESS_USER_023_001,USER_023,4,mobile,2024-12-25T15:54:01.923928
Q_00051,EX_WRI_CLO_E_047,Writing: Clothing Easy #3,2024-05-24T17:38:08,2024-05-24T17:50:49.720000,761.72,2024-05-24T17:38:00,2024-05-24T17:50:49.720000,writing,clothing,blouse,clothing/blouse.png,easy,spelling_choice,2024-05-24T17:50:40,2024-05-24T17:50:49.720000,9.72,sock,blouse,0,0,0,,0,0,,0,SESS_USER_018_001,USER_018,5,mobile,2024-05-24T17:50:50.252218
Q_00052,EX_COM_FOO_H_048,Comprehension: Food Hard #2,2024-04-11T10:02:34,2024-04-11T10:15:31.910000,777.91,2024-04-11T10:02:30,2024-04-11T10:15:31.910000,comprehension,food,bread,food/bread.png,hard,word_to_pic,2024-04-11T10:15:20,2024-04-11T10:15:31.910000,11.91,cake,bread,0,0,0,,0,0,,0,SESS_USER_046_001,USER_046,5,web,2024-04-11T10:15:33.221952
Q_00053,EX_WRI_ANI_E_049,Writing: Animals Easy #1,2024-10-20T12:56:07,2024-10-20T13:09:23.320000,796.32,2024-10-20T12:56:00,2024-10-20T13:09:23.320000,writing,animals,chicken,animals/chicken.png,easy,spelling_choice,2024-10-20T13:09:10,2024-10-20T13:09:23.320000,13.32,chicken,chicken,1,1,1,modeling,4,1,11.27,1,SESS_USER_001_001,USER_001,1,web,2024-10-20T13:09:24.354318
Q_00054,EX_COM_BOD_H_029,Comprehension: Body Parts Hard #1,2024-06-07T12:05:33,2024-06-07T12:19:43.960000,850.96,2024-06-07T12:05:30,2024-06-07T12:19:43.960000,comprehension,body_parts,head,body_parts/head.png,hard,category_sorting,2024-06-07T12:18:52,2024-06-07T12:19:43.960000,51.96,head,head,1,1,1,sentence_completion,7,2,27.89,5,SESS_USER_044_001,USER_044,1,mobile,2024-06-07T12:19:44.488806
Q_00055,EX_WRI_CLO_E_050,Writing: Clothing Easy #1,2024-08-14T13:22:09,2024-08-14T13:35:58.850000,829.85,2024-08-14T13:22:00,2024-08-14T13:35:58.850000,writing,clothing,shorts,clothing/shorts.png,easy,spelling_choice,2024-08-14T13:35:44,2024-08-14T13:35:58.850000,14.85,shorts,shorts,1,1,0,,0,0,,0,SESS_USER_029_001,USER_029,2,mobile,2024-08-14T13:35:59.138544
Q_00056,EX_COM_FOO_H_051,Comprehension: Food Hard #1,2024-04-18T13:09:31,2024-04-18T13:24:05.210000,874.21,2024-04-18T13:09:30,2024-04-18T13:24:05.210000,comprehension,food,meat,food/meat.png,hard,sentence_matching,2024-04-18T13:23:18,2024-04-18T13:24:05.210000,47.21,meat,meat,1,1,1,functional,4,1,29.78,4,SESS_USER_041_001,USER_041,3,web,2024-04-18T13:24:05.372016
Q_00057,EX_WRI_ANI_E_052,Writing: Animals Easy #1,2024-12-25T21:57:01,2024-12-25T22:11:10.840000,849.84,2024-12-25T21:57:00,2024-12-25T22:11:10.840000,writing,animals,sheep,animals/sheep.png,easy,spelling_choice,2024-12-25T22:11:06,2024-12-25T22:11:10.840000,4.84,sheep,sheep,1,1,0,,0,0,,0,SESS_USER_019_001,USER_019,1,web,2024-12-25T22:11:12.467421
Q_00058,EX_COM_BOD_H_053,Comprehension: Body Parts Hard #1,2024-10-05T12:09:32,2024-10-05T12:24:13.920000,881.92,2024-10-05T12:09:30,2024-10-05T12:24:13.920000,comprehension,body_parts,mouth,body_parts/mouth.png,hard,sentence_matching,2024-10-05T12:23:49,2024-10-05T12:24:13.920000,24.92,mouth,mouth,1,1,1,written_initial,5,1,46.19,5,SESS_USER_008_001,USER_008,5,mobile,2024-10-05T12:24:14.854392
Q_00059,EX_WRI_CLO_E_054,Writing: Clothing Easy #2,2024-11-09T21:10:04,2024-11-09T21:24:46.760000,882.76,2024-11-09T20:49:00,2024-11-09T21:24:46.760000,writing,clothing,sandal,clothing/sandal.png,easy,word_completion,2024-11-09T21:24:37,2024-11-09T21:24:46.760000,9.76,sandal,sandal,1,1,0,,0,0,,0,SESS_USER_020_001,USER_020,5,mobile,2024-11-09T21:24:48.255614
Q_00060,EX_COM_FOO_H_055,Comprehension: Food Hard #1,2024-02-16T12:12:39,2024-02-16T12:27:52.930000,913.93,2024-02-16T12:12:30,2024-02-16T12:27:52.930000,comprehension,food,water,food/water.png,hard,word_to_pic,2024-02-16T12:27:26,2024-02-16T12:27:52.930000,26.93,meat,water,0,0,0,,0,0,,0,SESS_USER_002_001,USER_002,1,web,2024-02-16T12:27:54.124869
Q_00061,EX_WRI_ANI_E_056,Writing: Animals Easy #1,2024-08-14T22:47:02,2024-08-14T23:02:08,906.0,2024-08-14T22:47:00,2024-08-14T23:02:08,writing,animals,monkey,animals/monkey.png,easy,word_completion,2024-08-14T23:02:02,2024-08-14T23:02:08,6.0,monkey,monkey,1,1,0,,0,0,,0,SESS_USER_042_001,USER_042,5,mobile,2024-08-14T23:02:08.993020
