question_id,exercise_id,exercise_name,exercise_start_at_iso,exercise_end_at_iso,exercise_duration_seconds,module_start_at_iso,module_end_at_iso,module,category,item,item_image_filename,difficulty_label,question_type,presented_at_iso,response_at_iso,response_time_seconds,user_answer,correct_answer,correct,correct_before_cue,cue_given,cue_type,cue_stage,cue_sequence_number,cue_wait_seconds,hint_count,session_id,user_id,therapist_assigned_level,device_type,created_at_iso
Q_C_BODY_M_001,EX_C_BODY_M_001,Kefahaman - Badan Sederhana,2024-01-08T10:05:35,2024-01-08T10:11:14.810000,339.81,2024-06-06T11:13:30,2024-01-08T10:11:14.810000,comprehension,body_parts,images/telinga.png,Anggota badan untuk mendengar bunyi.,medium,word_to_pic,2024-01-08T10:10:52,2024-01-08T10:11:14.810000,22.81,images/telinga.png,images/telinga.png,1,1,1,written_initial,3,2,54.44,1,SESS_USER_024_001,USER_024,2,web,2024-01-08T10:11:15.309145
Q_BADAN_H_002,EX_W_BADAN_H_002,Menulis - Anggota Badan Sukar,2024-06-30T20:46:06,2024-06-30T20:51:59.200000,353.2,2024-06-30T20:46:00,2024-06-30T20:51:59.200000,writing,body_parts,sendi,images/sendi.png,hard,pic_to_word,2024-06-30T20:51:37,2024-06-30T20:51:59.200000,22.2,images/paru.png,sendi,0,0,0,,0,0,,0,SESS_USER_007_001,USER_007,1,web,2024-06-30T20:52:00.942751
Q_C_BODY_H_002,EX_C_BODY_H_002,Kefahaman - Badan Sukar,2024-01-13T10:58:35,2024-01-13T11:04:31.910000,356.91,2024-01-13T10:58:30,2024-01-13T11:04:31.910000,comprehension,body_parts,images/paru.png,Organ dalaman untuk bernafas dan menukar oksigen.,hard,word_to_pic,2024-01-13T11:04:25,2024-01-13T11:04:31.910000,6.91,images/paru.png,images/paru.png,1,1,0,,0,0,,0,SESS_USER_027_001,USER_027,3,mobile,2024-01-13T11:04:33.651722
Q_FOOD_H_003,EX_W_FOOD_H_003,Menulis - Makanan Sukar,2024-03-22T20:56:01,2024-03-22T21:02:38.350000,397.35,2024-03-22T20:56:00,2024-03-22T21:02:38.350000,writing,food,roti canai,images/roti_canai.png,hard,pic_to_word,2024-03-22T21:02:03,2024-03-22T21:02:38.350000,35.35,roti canai,roti canai,1,1,1,spelling,2,1,15.98,2,SESS_USER_018_001,USER_018,5,mobile,2024-03-22T21:02:39.029863
Q_C_BODY_H_003,EX_C_BODY_H_003,Kefahaman - Badan Sukar,2024-01-08T10:04:33,2024-01-08T10:10:58.550000,385.55,2024-02-04T22:05:30,2024-01-08T10:10:58.550000,comprehension,body_parts,images/hati.png,Organ dalaman yang menghasilkan empedu dan memproses nutrien.,hard,word_to_pic,2024-01-08T10:10:50,2024-01-08T10:10:58.550000,8.55,images/hati.png,images/hati.png,1,1,0,,0,0,,0,SESS_USER_015_001,USER_015,2,web,2024-01-08T10:11:00.292271
Q_FOOD_E_004,EX_W_FOOD_E_004,Menulis - Makanan Mudah,2024-11-24T16:38:10,2024-11-24T16:44:49.600000,399.6,2024-11-24T16:38:00,2024-11-24T16:44:49.600000,writing,food,air,images/air.png,easy,pic_to_word,2024-11-24T16:44:40,2024-11-24T16:44:49.600000,9.6,air,air,1,1,0,,0,0,,0,SESS_USER_023_001,USER_023,4,mobile,2024-11-24T16:44:49.919149
Q_C_ANI_E_005,EX_C_ANI_E_005,Kefahaman - Haiwan Mudah,2024-05-15T08:19:39,2024-05-15T08:26:42.110000,423.11,2024-05-15T08:19:30,2024-05-15T08:26:42.110000,comprehension,animals,images/burung.png,Haiwan ini terbang dan berkicau.,easy,word_to_pic,2024-05-15T08:26:26,2024-05-15T08:26:42.110000,16.11,images/burung.png,images/burung.png,1,1,0,,0,0,,0,SESS_USER_038_001,USER_038,4,mobile,2024-05-15T08:26:43.039148
Q_ANI_H_003,EX_W_ANI_H_003,Menulis - Haiwan Sukar,2024-10-22T11:30:00,2024-10-22T11:37:16.120000,436.12,2024-10-22T11:30:00,2024-10-22T11:37:16.120000,writing,animals,penyu,images/penyu.png,hard,pic_to_word,2024-10-22T11:37:04,2024-10-22T11:37:16.120000,12.12,penyu,penyu,1,1,0,,0,0,,0,SESS_USER_025_001,USER_025,4,mobile,2024-10-22T11:37:17.525029
Q_C_KK_E_003,EX_C_KK_E_003,Kefahaman - Kata Kerja Mudah,2024-06-06T11:17:40,2024-06-06T11:25:09.340000,449.34,2024-06-06T11:13:30,2024-06-06T11:25:09.340000,comprehension,verbs,images/tidur.png,Perbuatan merehatkan badan dan pejam mata.,easy,word_to_pic,2024-06-06T11:25:00,2024-06-06T11:25:09.340000,9.34,images/tidur.png,images/tidur.png,1,1,0,,0,0,,0,SESS_USER_024_001,USER_024,2,web,2024-06-06T11:25:11.051229
Q_FOOD_E_003,EX_W_FOOD_E_003,Menulis - Makanan Mudah,2024-05-30T14:11:07,2024-05-30T14:19:16.170000,489.17,2024-09-16T12:57:00,2024-05-30T14:19:16.170000,writing,food,susu,images/susu.png,easy,pic_to_word,2024-05-30T14:18:39,2024-05-30T14:19:16.170000,37.17,susu,susu,1,1,0,,0,0,,0,SESS_USER_020_001,USER_020,5,mobile,2024-05-30T14:19:17.323384
Q_C_BODY_E_004,EX_C_BODY_E_004,Kefahaman - Badan Mudah,2024-02-04T22:05:35,2024-02-04T22:13:29.550000,474.55,2024-07-13T19:02:30,2024-02-04T22:13:29.550000,comprehension,body_parts,images/hidung.png,Anggota badan untuk menghidup bau dan bernafas.,easy,word_to_pic,2024-02-04T22:13:22,2024-02-04T22:13:29.550000,7.55,images/hidung.png,images/hidung.png,1,1,0,,0,0,,0,SESS_USER_043_001,USER_043,3,web,2024-02-04T22:13:30.421543
Q_ANI_E_005,EX_W_ANI_E_005,Menulis - Haiwan Mudah,2024-09-16T12:58:06,2024-09-16T13:06:14.160000,488.16,2024-09-16T12:57:00,2024-09-16T13:06:14.160000,writing,animals,burung,images/burung.png,easy,pic_to_word,2024-09-16T13:06:08,2024-09-16T13:06:14.160000,6.16,burung,burung,1,1,0,,0,0,,0,SESS_USER_020_001,USER_020,5,mobile,2024-09-16T13:06:15.143478
Q_C_KK_E_005,EX_C_KK_E_005,Kefahaman - Kata Kerja Mudah,2024-09-17T15:07:38,2024-09-17T15:16:04.650000,506.65,2024-12-17T19:03:30,2024-09-17T15:16:04.650000,comprehension,verbs,images/berdiri.png,Perbuatan tegak di atas kaki.,easy,word_to_pic,2024-09-17T15:15:58,2024-09-17T15:16:04.650000,6.65,tidur,images/berdiri.png,0,0,0,,0,0,,0,SESS_USER_014_001,USER_014,1,web,2024-09-17T15:16:05.072414
Q_BADAN_H_002,EX_W_BADAN_H_002,Menulis - Anggota Badan Sukar,2024-06-30T20:46:06,2024-06-30T20:55:01.980000,535.98,2024-07-13T19:04:00,2024-06-30T20:55:01.980000,writing,body_parts,sendi,images/sendi.png,hard,pic_to_word,2024-06-30T20:54:37,2024-06-30T20:55:01.980000,24.98,perut,sendi,0,0,1,modeling,2,1,42.0,1,SESS_USER_043_001,USER_043,3,mobile,2024-06-30T20:55:02.126408
Q_C_FOOD_E_002,EX_C_FOOD_E_002,Kefahaman - Makanan Mudah,2024-05-26T15:01:40,2024-05-26T15:11:02.900000,562.9,2024-05-26T15:01:30,2024-05-26T15:11:02.900000,comprehension,food,images/roti.png,Makanan yang biasa dimakan semasa sarapan.,easy,word_to_pic,2024-05-26T15:10:28,2024-05-26T15:11:02.900000,34.9,images/roti.png,images/roti.png,1,1,0,,0,0,,0,SESS_USER_030_001,USER_030,4,mobile,2024-05-26T15:11:03.939317
Q_KK_M_004,EX_W_KK_M_004,Menulis - Kata Kerja Sederhana,2024-02-20T08:43:01,2024-02-20T08:52:26.280000,565.28,2024-02-20T08:43:00,2024-02-20T08:52:26.280000,writing,verbs,lari,images/berlari.png,medium,pic_to_word,2024-02-20T08:52:06,2024-02-20T08:52:26.280000,20.28,lari,lari,1,1,0,,0,0,,0,SESS_USER_042_001,USER_042,5,mobile,2024-02-20T08:52:27.364120
Q_C_BODY_H_002,EX_C_BODY_H_002,Kefahaman - Badan Sukar,2024-01-13T10:58:35,2024-01-13T11:08:49.200000,614.2,2024-05-15T14:15:30,2024-01-13T11:08:49.200000,comprehension,body_parts,images/paru.png,Organ dalaman untuk bernafas dan menukar oksigen.,hard,word_to_pic,2024-01-13T11:07:54,2024-01-13T11:08:49.200000,55.2,images/paru.png,images/paru.png,1,1,1,spelling,6,1,34.21,5,SESS_USER_016_001,USER_016,2,web,2024-01-13T11:08:49.902866
Q_ANI_H_003,EX_W_ANI_H_003,Menulis - Haiwan Sukar,2024-10-22T11:30:00,2024-10-22T11:39:49.820000,589.82,2024-09-21T15:10:00,2024-10-22T11:39:49.820000,writing,animals,penyu,images/penyu.png,hard,pic_to_word,2024-10-22T11:39:34,2024-10-22T11:39:49.820000,15.82,kambing,penyu,0,0,0,,0,0,,0,SESS_USER_029_001,USER_029,2,mobile,2024-10-22T11:39:50.767236
Q_C_FOOD_E_002,EX_C_FOOD_E_002,Kefahaman - Makanan Mudah,2024-05-26T15:01:40,2024-05-26T15:11:43.100000,603.1,2024-05-04T20:49:30,2024-05-26T15:11:43.100000,comprehension,food,images/roti.png,Makanan yang biasa dimakan semasa sarapan.,easy,word_to_pic,2024-05-26T15:11:27,2024-05-26T15:11:43.100000,16.1,images/susu.png,images/roti.png,0,0,0,,0,0,,0,SESS_USER_031_001,USER_031,3,mobile,2024-05-26T15:11:44.655046
Q_BADAN_E_001,EX_W_BADAN_E_001,Menulis - Anggota Badan Mudah,2024-05-15T14:28:01,2024-05-15T14:38:09.590000,608.59,2024-05-15T14:28:00,2024-05-15T14:38:09.590000,writing,body_parts,tangan,images/tangan.png,easy,pic_to_word,2024-05-15T14:38:03,2024-05-15T14:38:09.590000,6.59,tangan,tangan,1,1,0,,0,0,,0,SESS_USER_016_001,USER_016,2,web,2024-05-15T14:38:10.297448
Q_C_BODY_E_001,EX_C_BODY_E_001,Kefahaman - Badan Mudah,2024-09-17T15:25:36,2024-09-17T15:35:59.230000,623.23,2024-09-17T15:25:30,2024-09-17T15:35:59.230000,comprehension,body_parts,images/tangan.png,Anggota badan yang digunakan untuk memegang atau menulis.,easy,word_to_pic,2024-09-17T15:35:51,2024-09-17T15:35:59.230000,8.23,images/tangan.png,images/tangan.png,1,1,0,,0,0,,0,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T15:36:00.118249
Q_BADAN_E_003,EX_W_BADAN_E_003,Menulis - Anggota Badan Mudah,2024-05-26T15:05:03,2024-05-26T15:15:41.070000,638.07,2024-05-26T15:05:00,2024-05-26T15:15:41.070000,writing,body_parts,mata,images/mata.png,easy,pic_to_word,2024-05-26T15:15:37,2024-05-26T15:15:41.070000,4.07,mata,mata,1,1,0,,0,0,,0,SESS_USER_030_001,USER_030,4,mobile,2024-05-26T15:15:42.967518
Q_C_BODY_H_002,EX_C_BODY_H_002,Kefahaman - Badan Sukar,2024-01-13T10:58:35,2024-01-13T11:10:01.880000,686.88,2024-10-21T14:51:30,2024-01-13T11:10:01.880000,comprehension,body_parts,images/paru.png,Organ dalaman untuk bernafas dan menukar oksigen.,hard,word_to_pic,2024-01-13T11:09:24,2024-01-13T11:10:01.880000,37.88,images/paru.png,images/paru.png,1,1,1,modeling,4,2,51.94,4,SESS_USER_049_001,USER_049,1,web,2024-01-13T11:10:03.400280
Q_KK_M_005,EX_W_KK_M_005,Menulis - Kata Kerja Sederhana,2024-04-22T15:36:04,2024-04-22T15:48:25.650000,741.65,2024-04-22T15:36:00,2024-04-22T15:48:25.650000,writing,verbs,cuci,images/mencuci.png,medium,pic_to_word,2024-04-22T15:47:09,2024-04-22T15:48:25.650000,76.65,cuci,cuci,1,1,1,written_initial,6,1,42.35,4,SESS_USER_039_001,USER_039,1,web,2024-04-22T15:48:26.063585
Q_C_BODY_E_002,EX_C_BODY_E_002,Kefahaman - Badan Mudah,2024-09-17T15:27:38,2024-09-17T15:39:05.920000,687.92,2024-09-17T15:25:30,2024-09-17T15:39:05.920000,comprehension,body_parts,images/kaki.png,Anggota badan yang digunakan untuk berjalan atau berlari.,easy,word_to_pic,2024-09-17T15:38:56,2024-09-17T15:39:05.920000,9.92,images/kaki.png,images/kaki.png,1,1,1,sentence_completion,6,1,6.49,6,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T15:39:06.277829
Q_BADAN_M_005,EX_W_BADAN_M_005,Menulis - Anggota Badan Sederhana,2024-05-13T14:43:03,2024-05-13T14:55:18.870000,735.87,2024-05-13T14:43:00,2024-05-13T14:55:18.870000,writing,body_parts,jari,images/jari.png,medium,pic_to_word,2024-05-13T14:54:35,2024-05-13T14:55:18.870000,43.87,jari,jari,1,1,1,spelling,3,1,46.36,2,SESS_USER_004_001,USER_004,2,mobile,2024-05-13T14:55:20.556331
Q_C_BODY_M_001,EX_C_BODY_M_001,Kefahaman - Badan Sederhana,2024-01-08T10:05:35,2024-01-08T10:17:36.470000,721.47,2024-10-03T08:45:30,2024-01-08T10:17:36.470000,comprehension,body_parts,images/telinga.png,Anggota badan untuk mendengar bunyi.,medium,word_to_pic,2024-01-08T10:17:21,2024-01-08T10:17:36.470000,15.47,images/telinga.png,images/telinga.png,1,1,1,phonemic,1,3,46.48,1,SESS_USER_048_001,USER_048,4,web,2024-01-08T10:17:38.164535
Q_KK_H_001,EX_W_KK_H_001,Menulis - Kata Kerja Sukar,2024-05-15T14:32:10,2024-05-15T14:44:43.460000,753.46,2024-05-15T14:28:00,2024-05-15T14:44:43.460000,writing,verbs,berbual,images/berbual.png,hard,pic_to_word,2024-05-15T14:44:14,2024-05-15T14:44:43.460000,29.46,berbual,berbual,1,0,1,spelling,6,1,19.09,3,SESS_USER_016_001,USER_016,2,web,2024-05-15T14:44:45.391096
Q_C_FOOD_E_001,EX_C_FOOD_E_001,Kefahaman - Makanan Mudah,2024-03-24T12:30:39,2024-03-24T12:43:21.870000,762.87,2024-03-24T12:30:30,2024-03-24T12:43:21.870000,comprehension,food,images/nasi.png,Makanan ruji orang Malaysia.,easy,word_to_pic,2024-03-24T12:42:54,2024-03-24T12:43:21.870000,27.87,images/nasi.png,images/nasi.png,1,1,1,phonemic,4,1,26.82,2,SESS_USER_050_001,USER_050,5,mobile,2024-03-24T12:43:23.094986
Q_BADAN_M_004,EX_W_BADAN_M_004,Menulis - Anggota Badan Sederhana,2024-05-15T14:33:04,2024-05-15T14:45:54.970000,770.97,2024-05-15T14:28:00,2024-05-15T14:45:54.970000,writing,body_parts,bahu,images/bahu.png,medium,pic_to_word,2024-05-15T14:45:34,2024-05-15T14:45:54.970000,20.97,images/mulut.png,bahu,0,0,0,,0,0,,0,SESS_USER_016_001,USER_016,2,web,2024-05-15T14:45:56.582832
Q_C_KK_E_003,EX_C_KK_E_003,Kefahaman - Kata Kerja Mudah,2024-06-06T11:17:40,2024-06-06T11:30:33.920000,773.92,2024-11-24T16:50:30,2024-06-06T11:30:33.920000,comprehension,verbs,images/tidur.png,Perbuatan merehatkan badan dan pejam mata.,easy,word_to_pic,2024-06-06T11:30:30,2024-06-06T11:30:33.920000,3.92,images/tidur.png,images/tidur.png,1,1,0,,0,0,,0,SESS_USER_023_001,USER_023,4,mobile,2024-06-06T11:30:34.668339
Q_FOOD_H_004,EX_W_FOOD_H_004,Menulis - Makanan Sukar,2024-03-23T19:38:08,2024-03-23T19:52:13.320000,845.32,2024-02-24T14:49:00,2024-03-23T19:52:13.320000,writing,food,teh tarik,images/teh_tarik.png,hard,pic_to_word,2024-03-23T19:51:13,2024-03-23T19:52:13.320000,60.32,telur,teh tarik,0,0,0,,0,0,,0,SESS_USER_032_001,USER_032,3,web,2024-03-23T19:52:13.710683
Q_C_KK_E_002,EX_C_KK_E_002,Kefahaman - Kata Kerja Mudah,2024-05-15T14:15:40,2024-05-15T14:29:08.130000,808.13,2024-02-20T08:51:30,2024-05-15T14:29:08.130000,comprehension,verbs,images/minum.png,Perbuatan memasukkan minuman ke dalam mulut.,easy,word_to_pic,2024-05-15T14:28:58,2024-05-15T14:29:08.130000,10.13,images/minum.png,images/minum.png,1,1,0,,0,0,,0,SESS_USER_042_001,USER_042,5,mobile,2024-05-15T14:29:09.113260
Q_BADAN_E_001,EX_W_BADAN_E_001,Menulis - Anggota Badan Mudah,2024-05-15T14:28:01,2024-05-15T14:41:34.100000,813.1,2024-05-15T08:33:00,2024-05-15T14:41:34.100000,writing,body_parts,tangan,images/tangan.png,easy,pic_to_word,2024-05-15T14:41:31,2024-05-15T14:41:34.100000,3.1,images/tangan.png,tangan,0,0,0,,0,0,,0,SESS_USER_038_001,USER_038,4,mobile,2024-05-15T14:41:34.729964
Q_C_ANI_E_004,EX_C_ANI_E_004,Kefahaman - Haiwan Mudah,2024-05-26T15:11:40,2024-05-26T15:25:35.180000,835.18,2024-05-26T15:11:30,2024-05-26T15:25:35.180000,comprehension,animals,images/ayam.png,Haiwan ini berkokok dan bertelur.,easy,word_to_pic,2024-05-26T15:25:27,2024-05-26T15:25:35.180000,8.18,images/ayam.png,images/ayam.png,1,1,0,,0,0,,0,SESS_USER_030_001,USER_030,4,mobile,2024-05-26T15:25:35.625496
